value	source_table	source_column	usage_count
Bluetooth 4.0	config_option	description	1
Standard: 802.11, BT, NFC	config_option	description	1
USB, USB Host, Modular Connectivity Slot, 802.11, Bluetooth USA/Canada	config_option	description	1
Healthcare*	config_option	description	1
Vibration Motor + TAA Compliant	config_option	description	1
47 Key	config_option	description	1
ZQ521	config_option	description	1
Built-In Horn	config_option	description	1
(600 dpi)	config_option	description	1
SE4770 SR+ Front/Rear Camera	config_option	description	1
India Only (RFID)	config_option	description	1
USB-C 3.0- 2-Pin Rear I/O	config_option	description	1
White with Green LED Aimer	config_option	description	1
Reserved/Open/Future	config_option	description	1
SAW Filter by Region	config_option	description	1
Single Nano SIM + eSIM	config_option	description	1
ROW_ APAC- LATAM- EMEA  (WWAN and WLAN)	config_option	description	1
White Illumination with Green LED Aimer	config_option	description	1
900 MHz Frequencies + Japan License Station	config_option	description	1
Camera	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
ROW (EMEA, LATAM, APAC)	config_option	description	1
TBD	config_option	description	1
USB, USB Host, Ethernet, Serial, 802.11ac, Bluetooth 4 (Japan)	config_option	description	1
SE965 1D Laser + Front/Rear Camera	config_option	description	1
SE4720 Standard Range Imager (for select China SKUs)	config_option	description	1
9Port	config_option	description	1
CHINA	config_option	description	1
Suffix	config_position	attribute_label	1
USB, USB Host, Ethernet, Serial, 802.11ac, Bluetooth 4, RFID - UHF (Japan)	config_option	description	1
2D Imager - SE4850 Extended Range Imager	config_option	description	1
6GB / 64GB	config_option	description	1
Group "C" (China)	config_option	description	1
USB, USB Host, Ethernet, Serial, BTLE (Intended for Zebra Printer Setup Utility App)	config_option	description	1
802.11a/b/g/n/d/h/i/k/r/ac + NFC+ BT 5.1 + 2x2 MuMIMO  - SD660 + Vibe	config_option	description	1
EEA (European Economic Area) (WWAN and WLAN)	config_option	description	1
Unites States Only	config_option	description	1
Color Camera Portrait	config_option	description	1
Zebra Industrial Printer (Tabletop)	config_option	description	1
DLP + Checkpoint	config_option	description	1
All-Touch TE Pre-load	config_position	attribute_label	1
2D Imager - SE4750-DP DPM Imager	config_option	description	1
Turkey	config_option	description	1
3Port	config_option	description	1
Brazil	config_option	description	1
Sri Lanka	config_option	description	1
Bluetooth and FIPS	config_option	description	1
China (WWAN / WLAN)	config_option	description	1
Standard Range with Toshiba Tec	config_option	description	1
WT5400	config_option	description	1
Linered	config_option	description	1
Color 4" Diagonal WVGA (800 Vertical x 480 Horizontal) w/ PCAP	config_option	description	1
FIPS/TAA	config_option	description	1
Double Sided, USB-C	config_option	description	1
Advanced label and receipt printer	config_option	description	1
Wireless Radio	config_position	attribute_label	1
Group "C" (China - ZR Model)	config_option	description	1
Condensation Resistant	config_option	description	1
White with Green LED Aimer and Magnetic Foot	config_option	description	1
SE4710	config_option	description	1
No back connector	config_option	description	1
Wireless Radio Option	config_position	attribute_label	1
Non Incendive Class 1 Div 2	config_option	description	1
SE55 Advanced Range Imager	config_option	description	1
ZD220	config_option	description	1
ZT6206	config_option	description	1
802.11 a/b/g/n/ac MU-MIMO	config_option	description	1
Battery Options	config_position	attribute_label	1
UHF RFID Antenna	config_position	attribute_label	1
One Physical SIM	config_option	description	1
Standard (Gray) Exterior	config_option	description	1
Group "A" (ID/TW/KR/MY/AU/NZ/LK/IN)	config_option	description	1
Wrist	config_option	description	1
Healthcare FFC & Rcam, Rear Button, NFC, Warm Swap Connector	config_option	description	1
Basic	config_option	description	1
Group "L" (Argentina/Brazil/Chile/Columbia/CostaRica/ElSalvador/Guatemala/ Honduras/Mexico/Nicaragua/Peru/Uruguay/Venezuela)	config_option	description	1
